MIDItoCV Eurorack module-mlm vs1;;;;
Quantity;Designator;Name;Footprint;Comments
1;ARDUINO_NANO;ARDUINO_NANO;COMM-TH_ARDUINO_NANO;https://es.aliexpress.com/item/1005002976480289.html 
1;C1;100uF electrolytic, 25 or 50V;CAP-TH_BD6.3-P2.50-D1.0-FD;
1;C2;10uF electrolytic, 25 or 50V;CAP-TH_BD5.0-P2.00-D0.8-FD;
2;C3,C4;47uF electrolytic, 25 or 50V;CAP-TH_BD6.3-P2.50-D1.0-FD;
3;C5,C6,C7;100nF ceramics;CAP-TH_L5.0-W3.0-P5.00-D1.0;
7;CLOCK_OUT,CONTROL,GATE_OUT,NOTE,PITCH_BEND,TRIGGER_OUT,VELOCITY;Mono jacks 3.5 mm, PJ-301M;THONKICONN;https://es.aliexpress.com/item/32919567094.html 
1;D1;1N4001 or 1N4007;DO-41_BD2.4-L4.7-P8.70-D0.9-RD;
1;D2;1N914;DO-35_BD2.0-L4.2-P8.20-D0.5-RD;
2;DAC1,DAC2;MCP4822-E/P;PDIP-8_L9.3-W6.4-P2.54-LS7.6-BL;https://es.aliexpress.com/item/1005002618058672.html 
1;L7809;L7809ACV;TO-220-3_L10.0-W4.5-P2.54-T;
3;LED_CLOCK,LED_GATE,LED_TRIG;LED-3MM;LED3MM-NS;
1;MIDI_IN;HDR-F-2.54_1x3;HDR-F-2.54_1X3;pads to connect a stereo jack (TRS MIDI IN) with wires
1;NOTE_PRIORITY;HDR-M-2.54_1x3;HDR-M-2.54_1X3;use a jumper to select note priority
1;OPTO;6N138;6N138;
1;P1;EURORACK PWR;EURORACK HDR-IDC-2.54-2X5P;
4;R1,R2,R3,R11;1k?;RES-TH_BD2.3-L6.5-P10.50-D0.5;
4;R4,R5,R6,R7;10k?;RES-TH_BD2.3-L6.5-P10.50-D0.5;
1;R8;4.7k?;RES-TH_BD2.3-L6.5-P10.50-D0.5;
1;R9;3k?;RES-TH_BD2.3-L6.5-P10.50-D0.5;
1;R10;470?;RES-TH_BD2.3-L6.5-P10.50-D0.5;
1;R12;220?;RES-TH_BD2.3-L6.5-P10.50-D0.5;
1;U1;LM324;DIP-14_L18.9-W6.4-P2.54-LS7.6-BL;
1;;Stereo jack 3.5 mm, PJ-301CM;;https://es.aliexpress.com/item/33043531063.html
